SWAPPER,EXPECTED_ROI,ROI_STANDARD_DEVIATION,SHARPE_RATIO,WIN_LOSS_RATIO,MAX_TRADE_PROPORTION,MAX_TOKEN_ROI,MIN_TOKEN_ROI,ROI_RANGE,IQR_ROI,UNIQUE_TOKENS_TRADED,TRADING_DAYS
ASwahD3JUWbBK9h43ksvMH4FhXWGRQEkeBJUYn3cLfoM,-0.3168372168,0.3417645248,-0.9270604617,0.1836734694,0.06754790019,0.1269277681,-0.9131014017,1.04002917,0.60426536,56,13
81vjC6b9pgXQNKFy1qWa6TBHHzzSfTuFkNHH6hqSByXF,-0.316882591,0.3412667148,-0.9285483788,0.1666666667,0.1272737278,0.06395598125,-0.7503664565,0.8143224378,0.64487768,14,11
AAuDRebx2WzQWBGJ4vXd6oBxnDNSGJm2PgSnUJXhTJH9,-0.3170103157,0.4659931157,-0.6802879589,0.2686567164,0.07715009668,1.315435619,-0.8504715954,2.165907215,0.715767354,73,34
GShRgVSq3fJVqvcjVCfzAbeMvW5BF8Dzq65CjM1ZF15m,-0.3174059694,0.4621027265,-0.6868754797,0.2857142857,0.08909445722,0.4401471368,-0.9089388968,1.349086034,0.7942471115,20,15
DHgbL9SFibzL8oh5TpnPr9bkK19hhV6ehHnWdBwk9rU,-0.3175306224,0.2809093664,-1.130370704,0.04433497537,0.008619924019,1.761069955,-0.9191280309,2.680197986,0.04899715622,272,21
AGB9iW1w9Jv6xicmS9fNK7LuToMQV87REyS2UnBXQs7V,-0.3177956773,0.4950139596,-0.6419932995,0.1698113208,0.0389221393,2.091764194,-0.9103527246,3.002116919,0.6624823361,66,30
8RwfrPgZX8dUnCNCNJxtSqeWStaD738g7KGYE8WGQgFw,-0.3185056595,0.4330743472,-0.7354538333,0.1842105263,0.05178211698,0.9872697405,-0.8820951818,1.869364922,0.5304029076,62,34
8ZTsjPSXGptdfyxRdBgCdUU1XLScuncUDM6keTv77P11,-0.3187123933,0.4937809074,-0.6454530511,0.25,0.08567196283,1.082010694,-0.9178884541,1.999899148,0.6917033487,46,18
3zVbbC5JLSSi4VRY3Mw47TSemZkUqwjg6Qse4gAFUTDC,-0.3191467891,0.4752648208,-0.6715152579,0.2870813397,0.08713882808,1.129990117,-0.9058261678,2.035816285,0.7979429231,289,47
9odpWvHwCuMF7x2c36tZAgbGMBqwd7piSJgo4wfbuRS3,-0.3197216962,0.2570650654,-1.243739041,0.1308411215,0.02006701237,0.4590935119,-0.6980775403,1.157171052,0.2466622559,107,11
9NNAetBQDgzcdUMjEmCLKEJ6AXKDAuJDEqNhvXgEmn4L,-0.3200200879,0.4474944519,-0.7151375544,0.1875,0.05546061191,1.171928241,-0.8452156,2.017143841,0.6154077655,46,28
Efu9wLgZ13att7RhdUnHwx88k6kC78a6qHxMuMXjVjaq,-0.3203561282,0.4195759249,-0.7635213725,0.2142857143,0.04809552333,0.6210031261,-0.9147100317,1.535713158,0.6021449098,33,14
72e74TXDFcrzNshdA6qzceUaVCzdXYPFDuhc55XQ5sMr,-0.3205932806,0.4161489568,-0.7703803044,0.2727272727,0.09925523279,0.2793181957,-0.8608901612,1.140208357,0.6436653711,21,16
DWpD9LfYD9QEjwWNKtvQd1Z2yENsxo5iK3E3U3FnVUMs,-0.3211999407,0.4534232273,-0.7083897763,0.1176470588,0.08597448852,1.086121617,-0.8172764255,1.903398042,0.5012260068,40,20
Daj8g3xBAXjKaiq31w9FhtSjofK38yqkZTzZZ5BbGRy8,-0.3218454352,0.5023287528,-0.6407084331,0.4117647059,0.1399648523,0.5552737768,-0.9009144036,1.45618818,0.8762693854,21,12
5hZrkpphhkEiN21gXYepPa1RGLfMTgbaCPkjDq4YVh5f,-0.3218462743,0.311433777,-1.033434475,0.1578947368,0.1627111397,0.1696687699,-0.8416401608,1.011308931,0.4967808261,28,17
3BsRqgHQ3JPBtCrqS1GAX74gHsHZ8ktGiLEeBNuVuujp,-0.3226246933,0.3043144157,-1.060168527,0.1666666667,0.1248850666,0.5602099863,-0.8806932369,1.440903223,0.4613685507,64,14
GCCobiKG9TuGkjoaH5KvMP7vMR4zw6iLu4Cva7ZrxZC,-0.3231900585,0.4494485345,-0.7190849499,0.2058823529,0.1615862432,1.1823726,-0.91128583,2.09365843,0.760478381,80,17
5m88cdSMnNCUeJYxMeqfQpLpuZ4ZJzhbEYg26NtyXKbj,-0.3233824019,0.4545669442,-0.7114079828,0.1739130435,0.1509872248,0.7734194645,-0.8362057937,1.609625258,0.514088244,35,13
9W8ds6nZhUjgqxuyBFxKaFJjj7YPjJM6n2GiGBL1yFNB,-0.3234305716,0.3595178199,-0.8996228867,0.1481481481,0.02748606784,0.5457818796,-0.8646894837,1.410471363,0.6244734976,67,22
2u9SvvtkQfXarXpBUmpoLYcbKc8dFndgnYhuWdSYfFVj,-0.3235985951,0.2719644868,-1.189857857,0.05555555556,0.06148718256,0.1653786053,-0.7423018201,0.9076804254,0.4307734491,25,17
BgUGfrV9oEqEBKZj1gMmjCZjd3snkrjskWqdQqbHcMoh,-0.3236350931,0.3046666767,-1.062261883,0.1162790698,0.08285726497,0.4487263654,-0.9137425785,1.362468944,0.4972328111,152,40
B2QHRy6yEa6MQXAWkM2HJ981jhPBoTZhoLYyHtW3bKSk,-0.3236401231,0.4546172322,-0.7118959756,0.125,0.04402529913,1.823142513,-0.8900251709,2.713167684,0.4609363289,71,23
B6xFECuDjdQCi1ixfNQii611NgdC6GoVBdfXBQ8gY7DM,-0.3242792955,0.3742469439,-0.8664841995,0.1777777778,0.03586591769,0.3802602532,-0.8978346591,1.278094912,0.716289861,61,25
B9jK7T8Q5wAG6Hychp95jHz4bSiN7Gic33GManPknBwM,-0.3251476347,0.4037460869,-0.8053280667,0.2134831461,0.02918336178,0.508426494,-0.9210165913,1.429443085,0.6195044667,129,26
5yRdqmwxQABaZFwJ8ZLudyiqc7HxAi3kArivc93kJqsv,-0.3258473294,0.4978898981,-0.6544590318,0.1532125206,0.0137086008,4.379323643,-0.917491586,5.296815229,0.5002319478,608,45
GsD94yebh6Pz6MwiSuTwagdLBC1AU6zKwWCWeBptn6aZ,-0.3260627907,0.3632309849,-0.8976754384,0.1666666667,0.1294484432,0.2899403486,-0.8821270707,1.172067419,0.5584696347,23,16
AvgXP3RK4wZnitwcti4QBxkVrw6miDvFTNrA3XNSNJcK,-0.326089037,0.3584930443,-0.9096148421,0.09803921569,0.01485816146,0.6382366679,-0.9089413767,1.547178045,0.6849952372,192,21
AMuVbRJSqDft4BrBeV21jCuPZmzsMGrwLmZjNamjoAo9,-0.3261202223,0.441710877,-0.7383108109,0.2058823529,0.02247086149,0.9522226705,-0.8968805642,1.849103235,0.6468547444,194,63
2wyak6b871KB6cPcyP7LfiKsSnRUT9A3PMryMJ1ebqFt,-0.3261562486,0.386546149,-0.8437705289,0.21875,0.06420689088,0.456170081,-0.8731653781,1.329335459,0.5543628016,38,13
B1AZVedivPNBQXThMLNahf1o3Fi8js6dWQ4mnqgsbaQj,-0.3262749784,0.4241750784,-0.7691988404,0.35,0.2115862555,0.5376954481,-0.8307655705,1.368461019,0.7571575453,22,16
A2TvM3Ud7toyP2SJmnDDrgWjiJuV5URiAFSJLgCteCuj,-0.3264599775,0.4292674502,-0.7605039213,0.1666666667,0.1384496426,0.6382816853,-0.8011907103,1.439472396,0.3139168697,15,10
b8MBFQdqK4YZo5eFvhdrcpgX7eLVn8Roe6fUqrCoG1H,-0.3266132908,0.3903421032,-0.8367360018,0.15,0.052140175,0.932822596,-0.7147426869,1.647565283,0.4652661951,24,19
8h8d4U6btQMipCBTaMpsVcgn2FjP3rtdFEyTZaZQuX4f,-0.3270585392,0.523097609,-0.625232848,0.1643835616,0.06215228584,1.546858101,-0.8524240415,2.399282143,0.5268611069,87,28
