WALLET_ADDRESS,UNIQUE_TOKENS,TOTAL_PNL,TOTAL_TRADES,PNL_CATEGORY,TOKEN_COUNT_CATEGORY
9VpWQ5R8b5zUwUAbfwHkSuiKe2hVcUR8fggca1pKVgB5,1,-0.510625986,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
E4x9HKbnJT1Xu5igc2HTFWm1GVhaBXpXuWTSaEEy7cRp,1,-0.083092527,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
5XPysx81cDub5XGniggSJfvNjFHvboWZMEnpt5tBqgEd,1,-0.327503517,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
EFvbjrCxkUDj5pRbBSXJDe7SPbFFXPsC8LfCN5ksDVAV,1,45.400529923,1,EXTREME PROFIT (> 10 SOL),VERY LOW (≤10)
2uuQkGmn3hN3veTMcqEGnibGw4tJdGu9CLKSKKkA4Nze,1,-0.180035232,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
CqnMbKDYMe5uo2yMpG2KUmr7R5UhMqonwDYQZe86JdAv,1,-6.000000011e-9,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
Cju3Ka6zgsYN5bHPRSnCQNxjL1f9e2k3mvQLJXPzZXq7,1,-0.163445394,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
38URoYzeHRmMzF23owXi6Z8QoGmnK8pZdc28W9wfpzhj,1,-0.377541481,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
YaLZro858CL97Z2czxgkjStCsLDBovFaqFtc7RxxEw5,1,-0.39976006,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
5dhnKFAzuVnixNGn6tiiYQgKvr2WEHtdu5kdqGBBM2t8,1,-2.010000002e-7,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
3oenp1QSKp8WyqPiktRs9T6YmKXDo6MvHBELkfaykxqs,1,-0.419238784,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
9BbVZUfRFHr4aCjaPpHAw3B1bhgK2e6SZ2auo5uDuPgD,1,-0.021132637,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
6fTRErawCnQKeWEngjSypNxy7siJhEdNsxaU8XVR6xbe,1,-0.466009613,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
GdL4uoqVXgAUYENPCwfrkinUccmQc9rRfaNMNM9WU6kT,1,-0.22621386,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
FHWmuwcDRbAR5sWKsiKqEgVdAEkzzAvre1BezMPiy2Pc,1,-0.045464334,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
CP3qk9iWS4BRYaXhEjvuMqzjBDEba5GJ25uPPP7o2GjA,1,-0.131596281,1,SMALL LOSS (-1 to -0.1 SOL),VERY LOW (≤10)
5mSRU4UjXpAxq1ruSRSH7Qb2HiHhqEhNFkRa3MEVJMyi,1,-5.399999981e-8,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
5z6k66fw2WSA672sE2dzueWWc74MBgarrqmuYmM9NQJj,1,-9.000000009e-9,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
6CVeguz39z27np3gA8cw6vdzuf1L13rJhq1vsSg2iHJx,1,-0.012201859,1,MINIMAL LOSS (-0.1 to 0 SOL),VERY LOW (≤10)
