WALLET_ADDRESS,EXIT_STATUS,HAS_EXITED,EXPECTED_ROI,RISK_ADJUSTED_ROI,ROI_STD_DEV,PROB_POSITIVE_ROI,PROB_NEGATIVE_ROI,EXPECTED_ROI_CATEGORY,TOTAL_TOKEN_COUNT,VALID_ROI_TOKEN_COUNT,PRE_2025_TOKEN_COUNT,PRE_2025_TOKEN_RATIO,HOLDING_TOKEN_COUNT,FULLY_SOLD_TOKEN_COUNT,PARTIALLY_SOLD_TOKEN_COUNT,RANK_BY_EXPECTED_ROI,DATA_QUALITY_WARNING,DATA_LIMITATION_NOTE
A21WKa1LG7j8KWHncGfBvrJVBa1bmNXvGGmXm7BhLobw,ACTIVE,0,0.2139719401,0.3852422107,0.5554218466,0.6666666667,0.3333333333,GAIN_10_TO_25,9,9,0,0,0,9,0,42,"null","null"
9HbvscfRYi3b6MVRe8nyMo43Kaxuo1NMLKfPtw9HHum7,EXITED,1,0.2081056327,0.550371837,0.3781182442,0.6153846154,0.3846153846,GAIN_10_TO_25,13,13,0,0,0,13,0,43,"null","null"
BBd8daLEje3S96zvVPKCpsANSQ9jDeSZPJrDb3o8CUNT,EXITED,1,0.1998983543,0.3848525347,0.5194154547,0.7272727273,0.2727272727,GAIN_10_TO_25,17,11,0,0,6,11,0,44,참고: 30% 이상의 토큰에 대해 ROI를 계산할 수 없음,"null"
A4BKLG2Urh9w7MZqQswQt3QLZTHFEofFyQFZ1eGp4Zmn,EXITED,1,0.1975711541,1.100471574,0.1795331735,0.8,0.2,GAIN_10_TO_25,6,5,0,0,1,5,0,45,"null","null"
2HWHiZbV3Be3AP4voamKikCaEATpaWBocYa6uLLLZdXn,EXITED,1,0.1935446747,1.414213562,0.136856752,0.6666666667,0,GAIN_10_TO_25,5,3,0,0,3,0,2,46,참고: 유효한 ROI 토큰 수가 5개 미만임,"null"
HyAPVu27M41dCmkmkycbyT7LBjK1evJyoTM8EpisMjpo,EXITED,1,0.1917635854,0.3096331586,0.6193250952,0.5238095238,0.1904761905,GAIN_10_TO_25,52,21,0,0,38,12,2,47,참고: 30% 이상의 토큰에 대해 ROI를 계산할 수 없음,"null"
CMERZtuv38v75R7nRA1vsAMw4UYc2Mf6CpagK1A6qVBF,ACTIVE,0,0.187897459,0.2750356172,0.6831750044,0.5294117647,0.4705882353,GAIN_10_TO_25,17,17,0,0,0,16,1,48,"null","null"
EopgNqabKmRvrXTj3qcs127UQXpgV63j5xWKkiW2jp4,EXITED,1,0.1875456335,0.6920015979,0.2710190757,0.7,0.3,GAIN_10_TO_25,11,10,1,0.09090909091,0,10,1,49,"null",참고: 일부 토큰은 2025년 1월 이전에 구매되었을 수 있으며, 이는 기대 ROI 계산에서 제외됨
7wdqD5S9sNnDHFB3ezEsYT5mwRBuLNkxNc8FJxWCdb5N,EXITED,1,0.1875194036,1.015571105,0.1846442879,1,0,GAIN_10_TO_25,19,19,0,0,0,19,0,50,"null","null"
6bUTGae8o37xw2syUJXCfCCnw5cR6q7jeZ3PWCF9Z6jq,ACTIVE,0,0.1859122854,0.1642284065,1.132034886,0.1666666667,0.6666666667,GAIN_10_TO_25,8,6,0,0,3,5,0,51,"null","null"
6kpC1jTnkJfiKnDNXV1L3bS4tvSj4Z7RS45VaBWfJL7Q,ACTIVE,0,0.1833303013,0.3154436284,0.5811824515,0.5357142857,0.3928571429,GAIN_10_TO_25,29,28,0,0,1,27,1,52,"null","null"
AN3EN9ZQGJYuNEDkuF7eSqtpFNtLJAzEHjmWxpqj9YLg,ACTIVE,0,0.174941846,1.434907833,0.1219185247,1,0,GAIN_10_TO_25,2,2,0,0,0,2,0,53,참고: 유효한 ROI 토큰 수가 5개 미만임,"null"
5Y2ATBR2htN2e55MDEcfjotb3NhK3P396WCs7VcCRFu3,EXITED,1,0.1697537986,1.229392357,0.1380794322,1,0,GAIN_10_TO_25,9,5,0,0,4,5,0,54,참고: 30% 이상의 토큰에 대해 ROI를 계산할 수 없음,"null"
EPy3V9NhBB4PiA6RwDHTURGNmJCiPRvoRmuLAPmmQRgy,ACTIVE,0,0.1682819431,0.6116799988,0.2751143465,0.8,0.2,GAIN_10_TO_25,15,15,0,0,0,15,0,55,"null","null"
FmiFLqJhMNKsmu47VriYHKfAvRRHi4FogWiqi7gwgFB4,ACTIVE,0,0.162748174,0.3600223284,0.4520502236,0.6525423729,0.3474576271,GAIN_10_TO_25,119,118,0,0,1,118,0,56,"null","null"
Ecn3PqSEzc5tAHvfDeUzjfZbwWXZcFVcA2euEAmf6ETu,EXITED,1,0.1624862838,"null",0,1,0,GAIN_10_TO_25,1,1,0,0,0,1,0,57,참고: 유효한 ROI 토큰 수가 5개 미만임,"null"
3E5w76EiEEjeh8n9bXhVPvL73Njd2EYUe5uPrHVeLN8G,EXITED,1,0.1620324285,0.3611753669,0.4486253586,0.5833333333,0.3333333333,GAIN_10_TO_25,12,12,0,0,0,11,1,58,"null","null"
GGmgmbomxhhAuLdAy4ECmdjKeFkZRtJrhGzceV4iU8U1,ACTIVE,0,0.1528613141,0.5041619412,0.3031988368,0.6282051282,0.3717948718,GAIN_10_TO_25,79,78,0,0,1,78,0,59,"null","null"
7vB2XHJLZwZGaSCeptfF4WGEZRh8cRTpiprtnPy1bVaK,EXITED,1,0.1528223365,0.795653593,0.1920714465,0.85,0.15,GAIN_10_TO_25,21,20,0,0,1,20,0,60,"null","null"
4YGTpztu38789TxaGESpfnJEpGaCRZK8dLHbeY3y2vev,ACTIVE,0,0.1525629801,0.9009549979,0.1693347397,0.8681818182,0.1318181818,GAIN_10_TO_25,221,220,0,0,4,210,7,61,"null","null"
DCdGbTpdfPdquWrdAxcFuhRGcaedv4jX8rVxkew2FEWi,ACTIVE,0,0.151769085,0.7451033014,0.2036886493,0.8888888889,0,GAIN_10_TO_25,10,9,0,0,2,8,0,62,"null","null"
2JH9VVPdqzCy8xbtbehnNCVFdZz6EwWa36N1odFNkSuw,ACTIVE,0,0.1495570045,0.2794200101,0.5352408528,0.5384615385,0.2307692308,GAIN_10_TO_25,13,13,0,0,2,11,0,63,"null","null"
CGoudRhnNAsSmYt7PqjW9pTXBAkebhvmdEyHrf3ZbKnf,ACTIVE,0,0.1484004774,0.3967237373,0.3740650317,0.5454545455,0.4545454545,GAIN_10_TO_25,22,22,0,0,0,22,0,64,"null","null"
FBfy9Bdasv2YqGz2CzSi1EzyFvLKGJhetTPkmXM5F4aa,EXITED,1,0.1477953423,0.3862393113,0.3826522521,0.6530973451,0.3469026549,GAIN_10_TO_25,661,565,2,0.003025718608,94,539,28,65,"null",참고: 일부 토큰은 2025년 1월 이전에 구매되었을 수 있으며, 이는 기대 ROI 계산에서 제외됨
267gWRXns7WpwLX2EeXcspoLkttNWFJgS1oZsyB8eZo5,ACTIVE,0,0.1464365934,0.3798208549,0.3855412137,0.5882352941,0.4117647059,GAIN_10_TO_25,34,34,0,0,0,34,0,66,"null","null"
6vgkkmSpGNYdEBZ7XWvHCeRMTmRv9GJhve5KXiMCJyBJ,EXITED,1,0.1460690405,0.5597751222,0.2609423582,0.8333333333,0.1666666667,GAIN_10_TO_25,33,6,0,0,27,3,3,67,참고: 30% 이상의 토큰에 대해 ROI를 계산할 수 없음,"null"
9hccP8DZjukieK85NfG7TkP4bgshJEVphjBcNFmY4o9c,ACTIVE,0,0.1453580619,0.312214418,0.4655712662,0.625,0.375,GAIN_10_TO_25,25,24,0,0,1,24,0,68,"null","null"
