SWAPPER,UNIQUE_TOKENS_TRADED,AVERAGE_ROI,EXPECTED_ROI,WALLET_STATUS
9PXAzKUTSEknVAhNkkoH8bQWWaGs5rRXSNSJKe7UoLrd,50,0.01231498721,0.01231498721,CHURNED
7JRpgujqWQU5xb3PaFdXZihYsxcLTy6weTriChjYm5FL,14,0.01183516123,0.01183514344,ACTIVE
AErwb7boFW2WVQcJGJa4F6VpM2W1ftMHB7NhtoXqVPp4,24,0.01181068744,0.0118106987,CHURNED
E3VdyL7fTpJH75427VxrEC9cZXvZEH5LRTyWTDHtDVQ4,429,0.01175970794,0.01175971468,ACTIVE
9GUeNpdsrX5CH1krmdgoW95cELwnuBuu2mm6DQH9b7LP,181,0.01169575627,0.01169470985,ACTIVE
DEbWiao2YnNn4utatb54ikH78enfoARvhTMBEAuSa6zN,16,0.01149920623,0.01149920623,CHURNED
JDWTy1WwLMkcwGu5pevBptMDpKDtufdp8w9nDN3KaDhf,101,0.01063252479,0.01063253542,ACTIVE
BLKoa6qfcSqDhvsMmrWsMnVrHHF9jWqDzFG57d8u3CDn,4298,0.01058451848,0.01058579011,CHURNED
E8dCXmwrCcwkamf4zDF55Lp72XajGr1dWH1xukHZd4qG,8,0.008982245778,0.008982245778,CHURNED
6QBDB4auvoJJsRfe4Mj9REdYqNCV3weLGvE41oQVNvMh,712,0.008950556545,0.008950178323,ACTIVE
Gx4L7pJ6vXr1yq2Pf2MJttWxouWR4kwNS8XfjLpheZ8Z,4,0.008837173993,0.008837173993,CHURNED
EsJD6umGgmWJ444DHEhe9G8x9A2cwiC52bTqQ3hQuLyW,11,0.008795549702,0.008795540906,CHURNED
HWgpQep9ukE62pnk66jSMC9b8Y6xr4m8cH4iNemqjNsh,112,0.008789489229,0.008789876904,ACTIVE
12vqfnjywdMjN9jtiW2JUqAxXdVnjnPRGs826kjAeXBj,1926,0.008689915677,0.008688966059,CHURNED
DHuWTwqmavNn5gSyN5t3cWkNGwq2EykaAJumM6H5PwA5,20,0.006671467768,0.006671467768,ACTIVE
C5FZxvsMuhG4ojzGcFBP4fPBBjcTneRxgUhZHcGoR5kC,20,0.005694284717,0.005694284717,ACTIVE
6xh4pnbDS4CXYpJxd7qrzT2szHX75kXnDLJ5vDZh37bF,4,0.005579898688,0.005579898688,CHURNED
52gCHCpQeLBzbwMe46NRcokBkuHvfxFeLpH4UvBMdBhU,24,0.00433025188,0.00433025301,CHURNED
vZc71n9hKzqMVHGczhFdbhwEdfjBeTiZ2HwJf9eLRS7,69,0.004269379738,0.004269822752,CHURNED
FEb1GoChkJtdvGqhXvQQCUC4nfBaZcViR57L3m7G28wW,3,0.004194544486,0.004194540292,CHURNED
EeKgRtQanTTKyDKLeqqtAwjUtz6wf4qMMcwvKFvRdjpW,14,0.004191279749,0.0041912816,ACTIVE
EgeHY5qPSZEQKLR1ViPFpDC8GGvbpe74j7jSjjfKk8zx,20,0.0040564343,0.0040564343,ACTIVE
2ruRdhZzrrU4FYBjkcHqWLZx8TMUcSye5TCksrDPt3wF,13,0.003868175246,0.003868170086,ACTIVE
BGt229Lg2g97Cey3GjnythWzV96Eyb6EMqUjwvvgDQPD,3,0.003276946867,0.00327694359,CHURNED
35q19wpJGka5dKxJfQEtMf4r2p2XCaiwPG7za5p41jQA,14,0.003264813086,0.003265044951,ACTIVE
5KboBha4yTNdSXD7RG2ya1UEDjW61E8WckF41yoY2a7T,11,0.002792077046,0.002792072865,ACTIVE
D1GsELNDEjS89Atuii71pvL4NNUHWWdLSMcBqpK5Fw99,13,0.002447917329,0.002447912612,CHURNED
9xgRAzpKy9HPXMQdhMfyksy4Bk2Ps2v2c6poRNiD4E8J,11,0.002194287479,0.002194289984,ACTIVE
KKthNAPGAifgGS26qvkyumuBHpNEytQtq2F7QUSSZNm,10,0.002001442596,0.002001442596,CHURNED
3UPJ9oEgRgiieGVVss1ycH3FLQZvK3q78MjHLWLWdAid,12,0.001851329409,0.001851326146,ACTIVE
t9MTbcTvZqpPtZKnewHqng2bnBpk4mwrsk1bMuFiUep,10,0.001648161322,0.001648161322,ACTIVE
DAupM39rSXdtmtnc3QKL58LCBeUP6BWrqgQo4GS1McyW,324,0.001423322116,0.001424300956,ACTIVE
Eqx454RPyek2qgDq5EzEoX9iCjX76APn1uVBsnjMJPPF,14,0.001412140036,0.001412148511,CHURNED
KxpZLVfqm2fCa7zkgiLpC4uGyRhHNJbT2QFSPhPTTwt,14,0.001145697326,0.001145693606,CHURNED
CUoAzNwDEgE1AzyceBovJJCCha3WA4dNHdqHT3KBLiEc,13,0.001049747538,0.00104975015,CHURNED
DVjq28QjGgKKFG3HXYus9GhtkmGFDJ6pYoED4FBqmq1L,6,0.0009418211811,0.0009416756765,CHURNED
5hchA8ojmwSSDKZepV1ZgqiYXjaDfAPEQKq6NLWXPwL9,12,0.0009375779486,0.0009375779486,ACTIVE
5yw9z3cNWRNBEoS5wKp2f89SRY2FbF5gGfwChwpc2AUx,17,0.0007006442109,0.0007006484231,ACTIVE
CTP1o5CKbMyJzegd8XGJWauJfyi5Ybv9VCA6ueN7WeB3,17,0.0005242411375,0.0005242407458,ACTIVE
UeFZ8g6i79dvXN5B38m9McZ9H9E8QkD3nHmSDrN7C9D,10,0.0002999862365,0.0002999862365,ACTIVE
9hY1YpQughs8CUuUUMxxaPcZttg5m3v4qLcqJMo8rPxE,10,0.0002745950916,0.0002745950916,ACTIVE
C8Tfmv9S2jDJYH1bthMZmJEvvSYBYkfNQL2RUEYjPYt6,14,0.0002286209035,0.0002286193278,ACTIVE
FjRAczfAVziTfekMNtxwjJcJmRk3B1xfF81moPkaq3jU,13,0.0002087945483,0.0002087940404,ACTIVE
FQ75y6KFPnAuSqiGZgqtVHwTX7kx1u6UXqhW2cBWS8oC,14,0.0002067862976,0.0002067855865,ACTIVE
3rKY83Tw3UKyCTvzArnptnCuesHLbiRTDNud4QD6Qimv,3,0.0001686831424,0.0001686829735,ACTIVE
BCwJDb8tHbA7GrMssfFuaZjQSbnGGdj7L6Y5V41gCZjq,13,0.0001660784831,0.0001660783167,CHURNED
14Qoh58PBDaCXQogFbqcPGvrBGJWEM8G5n4Bqtu3NM4m,11,0.0001477229512,0.0001477222113,ACTIVE
Ar9fzyjLRLXEfC1Xn8xcG1CdkWMREnmWvva4WMmdH4Xu,10,0.0001433617763,0.0001433617763,ACTIVE
FsKVNin836giNHsb13wkgDr4fRcC5Krr2uVSRpV9Cero,12,0.0001076182201,0.0001076182201,ACTIVE
4n56yrLLG1QnzCV8TJAexesCrwgtKiuoJRo5TQ3BaaTz,14,0.0001051614986,0.0001051613512,CHURNED
DvwHKYQtCvgAk7hG3uJNsqFpqiJCtxj2uxeWuzgqdSWA,4,0.00006729467844,0.00006729467844,CHURNED
5QE48toDqKg2FctzQu92srGbdpNnvw6pb7xRdgUuPAHf,37,0.0000347642355,0.00003477241842,ACTIVE
DD2HELLhk8A7Uv8rJ1f33KgHFqdqFevJJCgDt6kAYL4F,11,0.00001834172896,0.00001834138006,ACTIVE
DzdN3qo58Q2C8DtzdCBh9rSJVWm9pFBQZkeFAAr5bqB2,9,-7.404096286e-8,-7.404096286e-8,CHURNED
5S2MWrGpaGzYzZpde175shfJRkoaRZ3Bfwsx5VUQKWZj,10,-8.20963267e-8,-8.20963267e-8,CHURNED
AUqjFhmbWFRuaLQoTWm2ep57EPg1YBeYx3mLBmX3xzN1,17,-0.00001175781088,-0.00001175781088,CHURNED
HqFm5H98jrq2aSJZxzQ2MjCLjKoqLhLQgeHkAaBkznCx,15,-0.0000130661041,-0.0000130661041,ACTIVE
3dG6a7sGrMWEFV5cr1n2qmJDw6xqcmyLaRj8zxkU5Avt,4,-0.0000172483379,-0.0000172483379,ACTIVE
Fmfw2WmcPCfdE6uBCmTAnCMKvTYtZ3uafeDw27PTx13u,13,-0.00003002971971,-0.00003002982877,ACTIVE
6rBjN9LCK9rqbcZaNnQc469qcN6ch7HRZBzmrp8eMhYX,16,-0.00006833751493,-0.00006833751493,CHURNED
FSQL9K1YgJeQLDYe1K6ns5UDrCyVAU1eZA4E8Fhqi4zB,14,-0.00008119825916,-0.00008119825916,ACTIVE
3YmgU5rcsARmnP5Cz1NuN2zRyRgowaC9k9VeAcPoyZxE,12,-0.00008467950663,-0.00008467815199,ACTIVE
239Xe7auRT4x6sN7Jctrg1dDo92UjkBG51NpU1dGAcxS,17,-0.0001124292325,-0.0001124289923,CHURNED
H3wbjj3C7uCE3kMh37TLVBnnBguW4eAW5XDRueqyUenH,4,-0.0001127668978,-0.0001127668978,CHURNED
Hs5A5NziZgKXWsJdwPqDtyKWqoEkdB24BokW1H2pXwqH,11,-0.0001277974285,-0.0001277980282,ACTIVE
4eQR1Z1wg4rCg6cnAv3w5mVkMLbJ2cyTmjakfESoM87j,14,-0.0001448102603,-0.0001448103673,ACTIVE
Fmgqc7B9ftZQafRYDva6A5A3Rb1ZWXjLnynCtYXfPGfK,1,-0.0001488320829,-0.0001488320829,CHURNED
13x99BewpgNUuGxiyJtqAJfsjBrVqQtXx11NNbZCgDL1,15,-0.0001584904736,-0.0001584917468,CHURNED
43fzzMQ1HPyGXHxu2vQ6TyZD8zxRSmij5XKu3H7tMoH7,13,-0.0003141130823,-0.0003141135369,ACTIVE
19uAkYnpmVvyFE8prtsiUHcY28AqfzMoSXWYJzwQBxr,15,-0.0003219003811,-0.0003219012004,CHURNED
6YKkhHTpUgpBJvoehBY7YTRfcaRLdSCGXKX29kT46H8Q,12,-0.0003466529612,-0.0003466535632,ACTIVE
GYfPVKt2uda8Lb4NeHtqp5bgMhF5dzD9rR5Nh7CSyDX9,11,-0.0003513661808,-0.0003513669817,ACTIVE
BRozKV9FDCqDgmJvMftReHarEJirRjqLhk1uV1BKB5o7,12,-0.0003695015084,-0.0003695007751,ACTIVE
FM5qLeNcvGdGj8p2hbbziSibQXi3ZkemD3YzCRgs7H68,11,-0.0004037144183,-0.0004037144183,ACTIVE
eVKwZbgBjwQ7nAr7pTA3ZJKT4MJpVouhBSUAaKBY6H1,10,-0.000427650119,-0.000427650119,ACTIVE
F2P8vhXy84PmUqGQhc5b7wQb5W5XD8dFQiTJa47ARGsH,12,-0.0004343587705,-0.0004343591707,ACTIVE
6M2YJZ8fG8tUprkd3gwgStr3e3JGVWcGygtcsAvH45Co,16,-0.0004681462202,-0.0004681462202,ACTIVE
F8Xa741AbE2esMSa66TqBi3EQtVCamtQL5QbCZVk7dpZ,10,-0.0004784907224,-0.0004784907224,ACTIVE
Ct19Z4y1R2sd4UhpzDtJa8LfEg3oYp59r9Bix2WyHLaq,15,-0.000511574676,-0.000511574676,ACTIVE
BEtdZL1vxKpWubw8AtbrsX5R5wjQ4dPjHmCa7LdzVYQf,13,-0.0005126235946,-0.0005126242322,ACTIVE
6bR1j1t9fcotEm1WnH9fzMoun1JAU74D1nBxWHBNuz44,6,-0.0005732433715,-0.0005732420409,CHURNED
7d2FzA5hMhr2bTDgCAdvoEtqiaRGKPVxLaEkPCZstwuw,8,-0.0006090091917,-0.0006090091917,CHURNED
